stage,checkpoint_episode,rollout_id,step,row,col,action,reward,cumulative_reward,has_shield,event
early,50,5,13,1,1,DOWN,-1.5,-11.5,True,
early,50,5,14,2,1,UP,-1.5,-13.0,True,
early,50,5,15,1,1,DOWN,-1.5,-14.5,True,
early,50,5,16,2,1,UP,-1.5,-16.0,True,
early,50,5,17,1,1,DOWN,-1.5,-17.5,True,
early,50,5,18,2,1,UP,-1.5,-19.0,True,
early,50,5,19,1,1,DOWN,-1.5,-20.5,True,
early,50,5,20,2,1,UP,-1.5,-22.0,True,
early,50,5,21,1,1,DOWN,-1.5,-23.5,True,
early,50,5,22,2,1,UP,-1.5,-25.0,True,
early,50,5,23,1,1,DOWN,-1.5,-26.5,True,
early,50,5,24,2,1,UP,-1.5,-28.0,True,
early,50,5,25,1,1,DOWN,-1.5,-29.5,True,
early,50,5,26,2,1,UP,-1.5,-31.0,True,
early,50,5,27,1,1,DOWN,-1.5,-32.5,True,
early,50,5,28,2,1,UP,-1.5,-34.0,True,
early,50,5,29,1,1,DOWN,-1.5,-35.5,True,
early,50,5,30,2,1,UP,-1.5,-37.0,True,
early,50,5,31,1,1,DOWN,-1.5,-38.5,True,
early,50,5,32,2,1,UP,-1.5,-40.0,True,
early,50,5,33,1,1,DOWN,-1.5,-41.5,True,
early,50,5,34,2,1,UP,-1.5,-43.0,True,
early,50,5,35,1,1,DOWN,-1.5,-44.5,True,
early,50,5,36,2,1,UP,-1.5,-46.0,True,
early,50,5,37,1,1,DOWN,-1.5,-47.5,True,
early,50,5,38,2,1,UP,-1.5,-49.0,True,
early,50,5,39,1,1,DOWN,-1.5,-50.5,True,
early,50,5,40,2,1,UP,-51.5,-102.0,True,timeout
early,50,6,1,1,1,DOWN,4.5,4.5,False,shield_pickup
early,50,6,2,2,1,UP,-0.5,4.0,True,
early,50,6,3,1,1,DOWN,-0.5,3.5,True,
early,50,6,4,2,1,UP,-1.5,2.0,True,
early,50,6,5,1,1,DOWN,-1.5,0.5,True,
early,50,6,6,2,1,UP,-1.5,-1.0,True,
early,50,6,7,1,1,DOWN,-1.5,-2.5,True,
early,50,6,8,2,1,UP,-1.5,-4.0,True,
early,50,6,9,1,1,DOWN,-1.5,-5.5,True,
early,50,6,10,2,1,UP,-1.5,-7.0,True,
early,50,6,11,1,1,DOWN,-1.5,-8.5,True,
early,50,6,12,2,1,UP,-1.5,-10.0,True,
early,50,6,13,1,1,DOWN,-1.5,-11.5,True,
early,50,6,14,2,1,UP,-1.5,-13.0,True,
early,50,6,15,1,1,DOWN,-1.5,-14.5,True,
early,50,6,16,2,1,UP,-1.5,-16.0,True,
early,50,6,17,1,1,DOWN,-1.5,-17.5,True,
early,50,6,18,2,1,UP,-1.5,-19.0,True,
