episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,shield_pickup_step,trap_hit_step,path_type,wall_bumps,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
85,100,-49.0000,0,-1,0,-1,12,40,timeout,0,3.122826,0.021982,-0.445500,0.000000,0.000000,0.000000,0,0.000000,0.8922,0.0000,0.5116
86,50,6.0000,1,-1,0,-1,8,48,shield_route,0,3.820988,-0.076883,-0.424147,0.000000,0.000000,0.000000,0,0.000000,0.8909,0.0000,0.5172
87,100,-38.0000,0,-1,0,-1,86,16,timeout,0,2.609425,0.050158,-0.429098,0.000000,0.000000,0.000000,0,0.000000,0.8897,0.0000,0.5114
88,100,-29.0000,1,-1,0,-1,16,72,shield_route,0,3.234145,-0.045769,-0.422581,0.000000,0.000000,0.000000,0,0.000000,0.8884,0.0000,0.5169
89,12,-21.2000,1,-1,0,-1,-1,6,trap_rush,0,3.511855,0.008867,-0.455226,0.000000,0.000000,0.000000,0,0.000000,0.8871,0.0000,0.5222
90,100,-49.0000,0,-1,0,-1,6,54,timeout,0,3.411927,0.038520,-0.472975,0.000000,0.000000,0.000000,0,0.000000,0.8858,0.0000,0.5165
91,82,2.8000,1,-1,0,-1,8,80,shield_route,0,2.907742,-0.046768,-0.436301,0.000000,0.000000,0.000000,0,0.000000,0.8846,0.0000,0.5217
92,100,-8.0000,0,-1,0,-1,18,-1,timeout,0,3.106643,0.025314,-0.450007,0.000000,0.000000,0.000000,0,0.000000,0.8833,0.0000,0.5161
93,12,-31.2000,1,-1,0,-1,-1,4,trap_rush,0,4.399020,-0.221544,-0.399920,0.000000,0.000000,0.000000,0,0.000000,0.8820,0.0000,0.5213
94,66,4.4000,1,-1,0,-1,20,64,shield_route,0,2.954742,0.015284,-0.419665,0.000000,0.000000,0.000000,0,0.000000,0.8808,0.0000,0.5263
95,14,-21.4000,1,-1,0,-1,-1,6,trap_rush,0,3.804898,-0.105880,-0.435911,0.000000,0.000000,0.000000,0,0.000000,0.8795,0.0000,0.5312
96,100,-9.0000,0,-1,0,-1,22,50,timeout,0,3.107131,0.015955,-0.467785,0.000000,0.000000,0.000000,0,0.000000,0.8782,0.0000,0.5258
97,100,-89.0000,0,-1,0,-1,12,82,timeout,0,3.175285,-0.039923,-0.438045,0.000000,0.000000,0.000000,0,0.000000,0.8770,0.0000,0.5204
98,22,-12.2000,1,-1,0,-1,-1,18,trap_rush,0,3.435071,-0.089437,-0.479375,0.000000,0.000000,0.000000,0,0.000000,0.8757,0.0000,0.5253
99,16,-31.6000,1,-1,0,-1,-1,4,trap_rush,0,3.181611,-0.049789,-0.553810,0.000000,0.000000,0.000000,0,0.000000,0.8744,0.0000,0.5300
100,100,-8.0000,0,-1,0,-1,6,-1,timeout,0,3.015829,0.018673,-0.465428,0.000000,0.000000,0.000000,0,0.000000,0.8732,0.0000,0.5200
101,100,-8.0000,0,-1,0,-1,8,-1,timeout,0,2.907469,-0.013503,-0.483327,0.000000,0.000000,0.000000,0,0.000000,0.8719,0.0000,0.5200
102,100,-8.0000,0,-1,0,-1,46,-1,timeout,0,3.338109,-0.038760,-0.518287,0.000000,0.000000,0.000000,0,0.000000,0.8706,0.0000,0.5100
103,100,-8.0000,0,-1,0,-1,14,-1,timeout,0,3.481259,0.027471,-0.563144,0.000000,0.000000,0.000000,0,0.000000,0.8694,0.0000,0.5000
104,10,-1.0000,1,-1,0,-1,-1,8,trap_rush,0,2.138040,0.001323,-0.500864,0.000000,0.000000,0.000000,0,0.000000,0.8681,0.0000,0.5000
105,100,-8.0000,0,-1,0,-1,26,-1,timeout,0,3.538273,-0.031966,-0.528802,0.000000,0.000000,0.000000,0,0.000000,0.8668,0.0000,0.5000
106,100,-8.0000,0,-1,0,-1,12,-1,timeout,0,3.034756,0.008390,-0.509263,0.000000,0.000000,0.000000,0,0.000000,0.8656,0.0000,0.4900
107,100,-8.0000,0,-1,0,-1,10,-1,timeout,0,3.465072,0.003032,-0.523333,0.000000,0.000000,0.000000,0,0.000000,0.8643,0.0000,0.4800
108,100,-8.0000,0,-1,0,-1,14,-1,timeout,0,2.671378,0.015414,-0.481565,0.000000,0.000000,0.000000,0,0.000000,0.8630,0.0000,0.4700
109,100,-19.0000,0,-1,0,-1,4,66,timeout,0,2.997334,0.014946,-0.479882,0.000000,0.000000,0.000000,0,0.000000,0.8617,0.0000,0.4600
110,28,8.2000,1,-1,0,-1,4,26,shield_route,0,4.014242,-0.017729,-0.484255,0.000000,0.000000,0.000000,0,0.000000,0.8605,0.0000,0.4700
111,12,-1.2000,1,-1,0,-1,-1,10,trap_rush,0,2.332430,0.050646,-0.453292,0.000000,0.000000,0.000000,0,0.000000,0.8592,0.0000,0.4800
112,10,-1.0000,1,-1,0,-1,-1,8,trap_rush,0,4.569567,0.004846,-0.444421,0.000000,0.000000,0.000000,0,0.000000,0.8579,0.0000,0.4800
113,10,-1.0000,1,-1,0,-1,-1,8,trap_rush,0,3.693392,-0.109120,-0.414359,0.000000,0.000000,0.000000,0,0.000000,0.8567,0.0000,0.4900
114,100,-19.0000,0,-1,0,-1,18,62,timeout,0,3.012782,-0.013835,-0.451932,0.000000,0.000000,0.000000,0,0.000000,0.8554,0.0000,0.4800
115,100,-8.0000,0,-1,0,-1,66,-1,timeout,0,2.704884,0.004708,-0.469656,0.000000,0.000000,0.000000,0,0.000000,0.8541,0.0000,0.4700
116,70,4.0000,1,-1,0,-1,10,68,shield_route,0,2.923142,-0.010883,-0.480386,0.000000,0.000000,0.000000,0,0.000000,0.8529,0.0000,0.4700
117,56,-14.6000,1,-1,0,-1,22,50,shield_route,0,3.056318,0.030232,-0.437239,0.000000,0.000000,0.000000,0,0.000000,0.8516,0.0000,0.4700
118,100,-19.0000,0,-1,0,-1,18,40,timeout,0,2.897901,-0.026954,-0.451244,0.000000,0.000000,0.000000,0,0.000000,0.8503,0.0000,0.4600
119,100,-8.0000,0,-1,0,-1,6,-1,timeout,0,2.702819,-0.007890,-0.485520,0.000000,0.000000,0.000000,0,0.000000,0.8491,0.0000,0.4500
120,100,-8.0000,0,-1,0,-1,28,-1,timeout,0,3.126781,-0.007972,-0.512630,0.000000,0.000000,0.000000,0,0.000000,0.8478,0.0000,0.4400
121,100,-8.0000,0,-1,0,-1,20,-1,timeout,0,2.614312,-0.012710,-0.502379,0.000000,0.000000,0.000000,0,0.000000,0.8465,0.0000,0.4300
122,16,-21.6000,1,-1,0,-1,-1,8,trap_rush,0,2.031021,0.084478,-0.511582,0.000000,0.000000,0.000000,0,0.000000,0.8453,0.0000,0.4400
123,88,-27.8000,1,-1,0,-1,4,80,shield_route,0,2.785278,0.013621,-0.452161,0.000000,0.000000,0.000000,0,0.000000,0.8440,0.0000,0.4400
124,100,-8.0000,0,-1,0,-1,24,-1,timeout,0,2.859135,-0.016125,-0.449053,0.000000,0.000000,0.000000,0,0.000000,0.8427,0.0000,0.4400
125,100,-8.0000,0,-1,0,-1,22,-1,timeout,0,2.700340,0.024701,-0.422215,0.000000,0.000000,0.000000,0,0.000000,0.8415,0.0000,0.4300
126,100,-8.0000,0,-1,0,-1,8,-1,timeout,0,3.008246,-0.014999,-0.458564,0.000000,0.000000,0.000000,0,0.000000,0.8402,0.0000,0.4300
127,100,-8.0000,0,-1,0,-1,8,-1,timeout,0,2.903396,-0.041061,-0.466104,0.000000,0.000000,0.000000,0,0.000000,0.8389,0.0000,0.4200
128,100,-49.0000,0,-1,0,-1,12,68,timeout,0,2.739827,-0.012485,-0.445804,0.000000,0.000000,0.000000,0,0.000000,0.8377,0.0000,0.4100
129,100,-38.0000,0,-1,0,-1,44,32,timeout,0,2.837456,0.036635,-0.498425,0.000000,0.000000,0.000000,0,0.000000,0.8364,0.0000,0.4000
130,12,-1.2000,1,-1,0,-1,-1,10,trap_rush,0,1.782248,0.095569,-0.426263,0.000000,0.000000,0.000000,0,0.000000,0.8351,0.0000,0.4100
131,100,-8.0000,0,-1,0,-1,24,-1,timeout,0,2.730389,-0.025621,-0.461577,0.000000,0.000000,0.000000,0,0.000000,0.8338,0.0000,0.4100
132,100,-8.0000,0,-1,0,-1,4,-1,timeout,0,2.590359,-0.018329,-0.475351,0.000000,0.000000,0.000000,0,0.000000,0.8326,0.0000,0.4100
133,100,-8.0000,0,-1,0,-1,4,-1,timeout,0,2.568341,-0.008721,-0.478462,0.000000,0.000000,0.000000,0,0.000000,0.8313,0.0000,0.4100
134,100,-19.0000,0,-1,0,-1,6,88,timeout,0,2.516133,-0.018839,-0.522683,0.000000,0.000000,0.000000,0,0.000000,0.8300,0.0000,0.4100
135,14,-1.4000,1,-1,0,-1,-1,12,trap_rush,0,3.062861,0.150531,-0.520388,0.000000,0.000000,0.000000,0,0.000000,0.8288,0.0000,0.4100
136,100,-28.0000,0,-1,0,-1,26,8,timeout,0,2.529455,-0.003759,-0.466338,0.000000,0.000000,0.000000,0,0.000000,0.8275,0.0000,0.4100
137,100,-8.0000,0,-1,0,-1,18,-1,timeout,0,2.723323,-0.004813,-0.494688,0.000000,0.000000,0.000000,0,0.000000,0.8262,0.0000,0.4000
138,100,-8.0000,0,-1,0,-1,10,-1,timeout,0,2.702633,-0.008510,-0.498623,0.000000,0.000000,0.000000,0,0.000000,0.8250,0.0000,0.4000
139,100,-8.0000,0,-1,0,-1,16,-1,timeout,0,3.149650,-0.010368,-0.489271,0.000000,0.000000,0.000000,0,0.000000,0.8237,0.0000,0.3900
140,38,-12.8000,1,-1,0,-1,6,32,shield_route,0,2.774884,-0.028438,-0.502234,0.000000,0.000000,0.000000,0,0.000000,0.8224,0.0000,0.3900
141,12,-21.2000,1,-1,0,-1,-1,4,trap_rush,0,3.281459,0.019389,-0.569800,0.000000,0.000000,0.000000,0,0.000000,0.8212,0.0000,0.4000
142,12,-1.2000,1,-1,0,-1,-1,10,trap_rush,0,2.456295,0.007532,-0.517368,0.000000,0.000000,0.000000,0,0.000000,0.8199,0.0000,0.4000
143,86,-7.6000,1,-1,0,-1,4,82,shield_route,0,2.459944,0.013568,-0.534027,0.000000,0.000000,0.000000,0,0.000000,0.8186,0.0000,0.4100
144,100,-8.0000,0,-1,0,-1,22,-1,timeout,0,2.688801,0.009845,-0.529740,0.000000,0.000000,0.000000,0,0.000000,0.8174,0.0000,0.4000
145,8,-0.8000,1,-1,0,-1,-1,6,trap_rush,0,1.562385,-0.036181,-0.486166,0.000000,0.000000,0.000000,0,0.000000,0.8161,0.0000,0.4000
146,100,-8.0000,0,-1,0,-1,8,-1,timeout,0,2.452326,-0.024909,-0.517712,0.000000,0.000000,0.000000,0,0.000000,0.8148,0.0000,0.3900
147,100,-8.0000,0,-1,0,-1,6,-1,timeout,0,2.327063,-0.010717,-0.564659,0.000000,0.000000,0.000000,0,0.000000,0.8136,0.0000,0.3900
148,100,-28.0000,0,-1,0,-1,64,10,timeout,0,2.163627,0.046980,-0.502557,0.000000,0.000000,0.000000,0,0.000000,0.8123,0.0000,0.3800
149,100,-8.0000,0,-1,0,-1,6,-1,timeout,0,2.858152,-0.040664,-0.516249,0.000000,0.000000,0.000000,0,0.000000,0.8110,0.0000,0.3800
150,10,-21.0000,1,-1,0,-1,-1,4,trap_rush,0,3.025051,-0.210917,-0.567186,0.000000,0.000000,0.000000,0,0.000000,0.8097,0.0000,0.3900
151,10,-11.0000,1,-1,0,-1,-1,6,trap_rush,0,2.808482,0.078494,-0.584722,0.000000,0.000000,0.000000,0,0.000000,0.8085,0.0000,0.3900
152,12,-11.2000,1,-1,0,-1,-1,8,trap_rush,0,2.412122,-0.042161,-0.580447,0.000000,0.000000,0.000000,0,0.000000,0.8072,0.0000,0.3900
153,100,-19.0000,0,-1,0,-1,6,96,timeout,0,2.830493,0.011545,-0.541895,0.000000,0.000000,0.000000,0,0.000000,0.8059,0.0000,0.3900
154,100,-8.0000,0,-1,0,-1,6,-1,timeout,0,2.253205,0.004274,-0.495077,0.000000,0.000000,0.000000,0,0.000000,0.8047,0.0000,0.3900
155,62,4.8000,1,-1,0,-1,6,60,shield_route,0,2.379907,-0.036055,-0.506033,0.000000,0.000000,0.000000,0,0.000000,0.8034,0.0000,0.3900
156,100,-48.0000,0,-1,0,-1,24,4,timeout,0,2.219353,0.000576,-0.539132,0.000000,0.000000,0.000000,0,0.000000,0.8021,0.0000,0.3800
157,100,-8.0000,0,-1,0,-1,6,-1,timeout,0,2.197373,-0.011017,-0.512907,0.000000,0.000000,0.000000,0,0.000000,0.8009,0.0000,0.3800
158,100,-8.0000,0,-1,0,-1,10,-1,timeout,0,2.728027,-0.015410,-0.581501,0.000000,0.000000,0.000000,0,0.000000,0.7996,0.0000,0.3800
