episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
87,85,7.7000,1,59,0,64,0.053991,-0.257770,10.436961,-0.023707,0.024246,-0.004526,599,-0.002263,0.4989,0.4989,0.8068
88,121,5.4600,1,111,0,120,0.058113,-0.251229,10.523105,-0.023345,0.044853,0.003934,599,0.001967,0.4931,0.4931,0.8090
89,26,11.5600,1,14,0,25,0.039193,-0.201294,10.443937,-0.014458,0.018522,-0.001266,599,-0.000633,0.4919,0.4919,0.8111
90,78,8.4800,1,7,0,22,0.047494,-0.258031,10.482318,-0.021917,0.003303,-0.011829,599,-0.005914,0.4882,0.4882,0.8132
91,94,5.8400,1,72,0,81,0.063909,-0.317739,10.472244,-0.027365,0.009594,-0.012581,599,-0.006291,0.4837,0.4837,0.8152
92,200,-9.4000,0,30,0,37,0.063285,-0.257887,10.584922,-0.024925,0.011078,-0.010524,599,-0.005262,0.4742,0.4742,0.8065
93,179,0.1400,1,46,0,58,0.071677,-0.218020,10.783990,-0.021503,-0.008205,-0.016184,602,-0.008092,0.4657,0.4657,0.8085
94,62,5.9200,1,51,2,58,0.048125,-0.253068,10.795021,-0.020587,0.004111,-0.010708,602,-0.005354,0.4628,0.4628,0.8105
95,105,6.3000,1,65,0,75,0.052463,-0.244161,10.759705,-0.022126,-0.020631,-0.021528,605,-0.010764,0.4578,0.4578,0.8125
96,200,-11.6000,0,30,0,53,0.047849,-0.257132,10.758842,-0.024091,-0.013419,-0.019822,615,-0.009911,0.4483,0.5599,0.8041
97,200,-11.6000,0,59,1,64,0.059125,-0.296474,10.776072,-0.028875,-0.008996,-0.020923,615,-0.010462,0.4388,0.4388,0.7959
98,200,-13.1000,0,19,0,38,0.044454,-0.282902,10.795714,-0.026063,0.004928,-0.013667,615,-0.006833,0.4293,0.4293,0.7879
99,200,-8.3000,0,41,0,72,0.073177,-0.319380,10.873506,-0.030215,-0.001179,-0.018600,615,-0.009300,0.4198,0.4198,0.7800
100,59,10.1400,1,51,0,58,0.050778,-0.271479,10.896132,-0.025272,0.001863,-0.014418,615,-0.007209,0.4170,0.4170,0.7800
101,51,10.4600,1,44,0,49,0.058973,-0.285150,10.996579,-0.022075,0.012474,-0.008255,615,-0.004128,0.4146,0.4146,0.7800
102,200,-8.4000,0,125,0,130,0.051674,-0.317699,10.947757,-0.030339,-0.008352,-0.021544,615,-0.010772,0.4051,0.4051,0.7700
