episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,shield_pickup_step,trap_hit_step,path_type,wall_bumps,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
82,54,-15.4000,1,-1,0,-1,-1,50,trap_rush,0,3.694345,-0.037646,-0.409540,0.000000,0.000000,0.130238,0,0.000000,0.8960,0.0000,0.5301
83,100,-9.0000,0,-1,0,-1,10,64,timeout,0,3.463424,-0.006523,-0.401613,0.000000,0.000000,0.004761,0,0.000000,0.8947,0.0000,0.5238
84,100,-8.0000,0,-1,0,-1,20,-1,timeout,0,3.752410,-0.017749,-0.435408,0.000000,0.000000,0.035123,0,0.000000,0.8935,0.0000,0.5176
85,100,-49.0000,0,-1,0,-1,12,40,timeout,0,3.121679,0.014167,-0.415045,0.000000,0.000000,0.098115,0,0.000000,0.8922,0.0000,0.5116
86,50,6.0000,1,-1,0,-1,8,48,shield_route,0,3.814245,-0.087901,-0.390568,0.000000,0.000000,0.088155,0,0.000000,0.8909,0.0000,0.5172
87,100,-38.0000,0,-1,0,-1,86,16,timeout,0,2.607333,0.042975,-0.399246,0.000000,0.000000,0.075686,0,0.000000,0.8897,0.0000,0.5114
88,100,-29.0000,1,-1,0,-1,16,72,shield_route,0,3.228542,-0.052806,-0.386756,0.000000,0.000000,0.038943,0,0.000000,0.8884,0.0000,0.5169
89,12,-21.2000,1,-1,0,-1,-1,6,trap_rush,0,3.500552,-0.001212,-0.415061,0.000000,0.000000,0.129419,0,0.000000,0.8871,0.0000,0.5222
90,100,-49.0000,0,-1,0,-1,6,54,timeout,0,3.405312,0.028557,-0.432666,0.000000,0.000000,0.099272,0,0.000000,0.8858,0.0000,0.5165
91,82,2.8000,1,-1,0,-1,8,80,shield_route,0,2.905957,-0.054760,-0.397866,0.000000,0.000000,0.063556,0,0.000000,0.8846,0.0000,0.5217
92,100,-8.0000,0,-1,0,-1,18,-1,timeout,0,3.105296,0.016761,-0.411127,0.000000,0.000000,0.088772,0,0.000000,0.8833,0.0000,0.5161
93,12,-31.2000,1,-1,0,-1,-1,4,trap_rush,0,4.402851,-0.232637,-0.358580,0.000000,0.000000,0.011507,0,0.000000,0.8820,0.0000,0.5213
94,66,4.4000,1,-1,0,-1,20,64,shield_route,0,2.949892,0.012253,-0.386263,0.000000,0.000000,-0.021763,0,0.000000,0.8808,0.0000,0.5263
95,14,-21.4000,1,-1,0,-1,-1,6,trap_rush,0,3.810238,-0.104473,-0.406991,0.000000,0.000000,0.026063,0,0.000000,0.8795,0.0000,0.5312
96,100,-9.0000,0,-1,0,-1,22,50,timeout,0,3.107240,0.011606,-0.433042,0.000000,0.000000,0.064378,0,0.000000,0.8782,0.0000,0.5258
97,100,-89.0000,0,-1,0,-1,12,82,timeout,0,3.171055,-0.042833,-0.404770,0.000000,0.000000,0.003911,0,0.000000,0.8770,0.0000,0.5204
98,22,-12.2000,1,-1,0,-1,-1,18,trap_rush,0,3.439671,-0.092665,-0.445864,0.000000,0.000000,-0.016938,0,0.000000,0.8757,0.0000,0.5253
99,16,-31.6000,1,-1,0,-1,-1,4,trap_rush,0,3.180675,-0.052212,-0.520880,0.000000,0.000000,0.234306,0,0.000000,0.8744,0.0000,0.5300
100,100,-8.0000,0,-1,0,-1,6,-1,timeout,0,3.012043,0.010314,-0.426694,0.000000,0.000000,0.049914,0,0.000000,0.8732,0.0000,0.5200
101,100,-8.0000,0,-1,0,-1,8,-1,timeout,0,2.904244,-0.022072,-0.444365,0.000000,0.000000,0.104529,0,0.000000,0.8719,0.0000,0.5200
102,100,-8.0000,0,-1,0,-1,46,-1,timeout,0,3.335080,-0.046214,-0.479889,0.000000,0.000000,0.054814,0,0.000000,0.8706,0.0000,0.5100
103,100,-8.0000,0,-1,0,-1,14,-1,timeout,0,3.483246,0.010147,-0.505825,0.000000,0.000000,0.162440,0,0.000000,0.8694,0.0000,0.5000
104,10,-1.0000,1,-1,0,-1,-1,8,trap_rush,0,2.137078,-0.019434,-0.439935,0.000000,0.000000,0.041843,0,0.000000,0.8681,0.0000,0.5000
